fold,window,window_start_seconds,window_end_seconds,k_features,selection_strategy,C,balanced_accuracy,macro_f1,negative_log_likelihood
2,0:10,0.0,10.0,32,kbest,0.1,0.29474619115939055,0.2889576883384933,1.5073484033703592
2,0:10,0.0,10.0,32,kbest,1.0,0.25302316048370566,0.24874340804218853,2.1704922779821727
2,0:10,0.0,10.0,64,kbest,0.01,0.2821548131447701,0.27747927031509123,1.2306527821150928
2,0:10,0.0,10.0,64,kbest,0.1,0.23536926965908314,0.22953671441476323,1.6407662080605552
2,0:10,0.0,10.0,64,kbest,1.0,0.28326842932294866,0.2809321013278396,2.599059012251722
3,0:2,0.0,2.0,0,all_after_variance,0.01,0.2543189368770764,0.2586897479051461,1.447949612096379
3,0:2,0.0,2.0,0,all_after_variance,0.1,0.25342607973421927,0.25502215339613715,2.307260480358964
3,0:2,0.0,2.0,0,all_after_variance,1.0,0.26117801771871535,0.26333767078724785,3.5861383167713696
3,0:2,0.0,2.0,8,kbest,0.01,0.27071566998892577,0.2732391244696794,1.1496420397278602
3,0:2,0.0,2.0,8,kbest,0.1,0.2758028792912514,0.27976665309998644,1.294239167747021
3,0:2,0.0,2.0,8,kbest,1.0,0.29574335548172753,0.30139273959498675,1.3794022591247728
3,0:2,0.0,2.0,16,kbest,0.01,0.2397079180509413,0.2475452196382429,1.1779582015658578
3,0:2,0.0,2.0,16,kbest,0.1,0.2430094130675526,0.24612403100775193,1.3478551289089862
3,0:2,0.0,2.0,16,kbest,1.0,0.26537236987818386,0.26195506260865736,1.4875630973497866
3,0:2,0.0,2.0,32,kbest,0.01,0.2596483942414175,0.26309067688378035,1.2234321774779076
3,0:2,0.0,2.0,32,kbest,0.1,0.31921373200442965,0.3158369652508955,1.4896675461259092
3,0:2,0.0,2.0,32,kbest,1.0,0.28199750830564785,0.27765146730663975,1.864914163437807
3,0:2,0.0,2.0,64,kbest,0.01,0.23969407530454043,0.2375157409640168,1.2669810822385152
3,0:2,0.0,2.0,64,kbest,0.1,0.25784883720930235,0.2494662187383352,1.667472487571167
3,0:2,0.0,2.0,64,kbest,1.0,0.2483250276854928,0.24168986351047936,2.746214411152966
3,2:4,2.0,4.0,0,all_after_variance,0.01,0.38214977851605764,0.37893542163205085,1.3612944163418326
3,2:4,2.0,4.0,0,all_after_variance,0.1,0.3520348837209302,0.3474619907455729,2.0158756644250353
3,2:4,2.0,4.0,0,all_after_variance,1.0,0.3615586932447397,0.35729290057648266,2.970164010724879
3,2:4,2.0,4.0,8,kbest,0.01,0.3823920265780731,0.37178076161127005,1.1222011677899992
3,2:4,2.0,4.0,8,kbest,0.1,0.37196151716500553,0.36975335612154847,1.2476138863262047
3,2:4,2.0,4.0,8,kbest,1.0,0.39013012181616835,0.3873023275899296,1.37257379946614
3,2:4,2.0,4.0,16,kbest,0.01,0.38214977851605764,0.3754241708884822,1.1218349711346693
3,2:4,2.0,4.0,16,kbest,0.1,0.3648601882613511,0.36366394479984737,1.2915870823898108
3,2:4,2.0,4.0,16,kbest,1.0,0.3648601882613511,0.36347597715740476,1.5250094785236126
3,2:4,2.0,4.0,32,kbest,0.01,0.37236987818383166,0.36720395443799697,1.129779959421826
3,2:4,2.0,4.0,32,kbest,0.1,0.3750346068660022,0.37144777265745005,1.3647939332353738
3,2:4,2.0,4.0,32,kbest,1.0,0.3965047065337763,0.38966305550701846,1.8701541061411784
3,2:4,2.0,4.0,64,kbest,0.01,0.3265088593576965,0.3206963249516441,1.123832905724328
3,2:4,2.0,4.0,64,kbest,0.1,0.3845584163898117,0.38197165153686896,1.3621302427087394
