subject,ma_mau,substance,intensity,roi,band,abs_power,rel_power
P020,S2_7,Sucralose,7,Occipital,theta,1.9519292683320406e-10,0.11000056756766757
P020,S2_7,Sucralose,7,Parietal,alpha,1.339877187998302e-10,0.06643922357489401
P020,S2_7,Sucralose,7,Parietal,beta,3.755750148131846e-10,0.17898211800565406
P020,S2_7,Sucralose,7,Parietal,delta,8.546871887291005e-10,0.47328075916923124
P020,S2_7,Sucralose,7,Parietal,gamma,4.091093075744637e-10,0.18604809758064145
P020,S2_7,Sucralose,7,Parietal,theta,1.770999882601941e-10,0.09524980166957907
P020,S2_7,Sucralose,7,Temporal,alpha,9.529296189196435e-11,0.05842397716760368
P020,S2_7,Sucralose,7,Temporal,beta,3.056469074816872e-10,0.17337027121583404
P020,S2_7,Sucralose,7,Temporal,delta,8.783544714316927e-10,0.47656426672832464
P020,S2_7,Sucralose,7,Temporal,gamma,3.106611802166892e-10,0.17168278534642187
P020,S2_7,Sucralose,7,Temporal,theta,2.2184860366443845e-10,0.11995869954181577
P021,H2O,Water,0,Central,alpha,4.2552223369151915e-10,0.10477806895120806
P021,H2O,Water,0,Central,beta,1.1777280045619495e-09,0.2814187831378862
P021,H2O,Water,0,Central,delta,5.192784627261587e-10,0.2519830292642589
P021,H2O,Water,0,Central,gamma,1.1189751802828592e-09,0.26738326502013793
P021,H2O,Water,0,Central,theta,3.8274360145620636e-10,0.09443685362650861
P021,H2O,Water,0,Frontal,alpha,2.755239484596012e-10,0.09590090024157004
P021,H2O,Water,0,Frontal,beta,7.045719771648599e-10,0.25183901570912975
P021,H2O,Water,0,Frontal,delta,7.135019741856043e-10,0.32529463611176684
P021,H2O,Water,0,Frontal,gamma,6.00245377387602e-10,0.21844206720839757
P021,H2O,Water,0,Frontal,theta,2.890424686767381e-10,0.10852338072913571
P021,H2O,Water,0,Gustatory,alpha,4.6270602441941927e-10,0.10130534022376977
P021,H2O,Water,0,Gustatory,beta,1.371817626006964e-09,0.2820384192629376
P021,H2O,Water,0,Gustatory,delta,8.406862783751406e-10,0.2545654708606721
P021,H2O,Water,0,Gustatory,gamma,1.3471992875399574e-09,0.27175404815286985
P021,H2O,Water,0,Gustatory,theta,4.240737618982797e-10,0.09033672149975061
P021,H2O,Water,0,Occipital,alpha,3.194716921963829e-10,0.08664400677673904
P021,H2O,Water,0,Occipital,beta,1.1417413972412533e-09,0.31965780123759535
P021,H2O,Water,0,Occipital,delta,5.715279402992763e-10,0.21595622424334004
P021,H2O,Water,0,Occipital,gamma,1.0033910582079737e-09,0.29485627039346696
P021,H2O,Water,0,Occipital,theta,2.848374881360409e-10,0.08288569734885892
P021,H2O,Water,0,Parietal,alpha,3.8127652166168747e-10,0.09175053806979919
P021,H2O,Water,0,Parietal,beta,1.4270252954253503e-09,0.31823984900444324
P021,H2O,Water,0,Parietal,delta,5.866018335860684e-10,0.18814862222196693
P021,H2O,Water,0,Parietal,gamma,1.3317978247710925e-09,0.31803697950725834
P021,H2O,Water,0,Parietal,theta,3.407725419494944e-10,0.08382401119653202
P021,H2O,Water,0,Temporal,alpha,3.878051012463285e-10,0.09225231489553679
P021,H2O,Water,0,Temporal,beta,1.3683962056748411e-09,0.3106772095959307
P021,H2O,Water,0,Temporal,delta,7.99099762578208e-10,0.23126228027123685
P021,H2O,Water,0,Temporal,gamma,1.2673337300883856e-09,0.2803787473281761
P021,H2O,Water,0,Temporal,theta,3.7399043910605285e-10,0.08542944790911969
P021,S1_12,Sucrose,12,Central,alpha,4.0168755810632046e-10,0.08677168684190492
P021,S1_12,Sucrose,12,Central,beta,1.1759625392302347e-09,0.23514382448494558
P021,S1_12,Sucrose,12,Central,delta,7.892932831638129e-10,0.32526148584713743
P021,S1_12,Sucrose,12,Central,gamma,1.1419687405126432e-09,0.22893509074042798
P021,S1_12,Sucrose,12,Central,theta,4.5555398268788777e-10,0.12388791208558389
P021,S1_12,Sucrose,12,Frontal,alpha,2.7879050428673705e-10,0.07862813661800173
P021,S1_12,Sucrose,12,Frontal,beta,7.223573715643433e-10,0.1971669359618974
P021,S1_12,Sucrose,12,Frontal,delta,1.2070973999104282e-09,0.4158504822556975
P021,S1_12,Sucrose,12,Frontal,gamma,6.201744923841904e-10,0.18286155026782988
P021,S1_12,Sucrose,12,Frontal,theta,3.9651743410808464e-10,0.12549289489657348
P021,S1_12,Sucrose,12,Gustatory,alpha,5.188960937232868e-10,0.08098488826440858
P021,S1_12,Sucrose,12,Gustatory,beta,1.3667565141517342e-09,0.21517324014751776
P021,S1_12,Sucrose,12,Gustatory,delta,1.6668129477489345e-09,0.3661222485512465
P021,S1_12,Sucrose,12,Gustatory,gamma,1.3579561966354352e-09,0.21343210126542583
P021,S1_12,Sucrose,12,Gustatory,theta,6.940857809024742e-10,0.12428752177140123
P021,S1_12,Sucrose,12,Occipital,alpha,3.1768234209828503e-10,0.07954587784840436
P021,S1_12,Sucrose,12,Occipital,beta,1.1189327566461386e-09,0.26910168408660234
P021,S1_12,Sucrose,12,Occipital,delta,1.0297165707784326e-09,0.29091338120015053
P021,S1_12,Sucrose,12,Occipital,gamma,1.0533467472257705e-09,0.2574865131825683
P021,S1_12,Sucrose,12,Occipital,theta,3.996806294005732e-10,0.10295254368227424
P021,S1_12,Sucrose,12,Parietal,alpha,3.1673947957390794e-10,0.06758454381604609
P021,S1_12,Sucrose,12,Parietal,beta,1.3647451158624331e-09,0.2808947548550511
P021,S1_12,Sucrose,12,Parietal,delta,1.1739376370873722e-09,0.29534295114830944
P021,S1_12,Sucrose,12,Parietal,gamma,1.1705913631740765e-09,0.24851451236839386
P021,S1_12,Sucrose,12,Parietal,theta,4.755326712386189e-10,0.10766323781219926
P021,S1_12,Sucrose,12,Temporal,alpha,5.096035678543834e-10,0.081473038214057
P021,S1_12,Sucrose,12,Temporal,beta,1.3492341938426859e-09,0.22851201092710505
P021,S1_12,Sucrose,12,Temporal,delta,1.5286599759616491e-09,0.3438003544460955
P021,S1_12,Sucrose,12,Temporal,gamma,1.3559038789872548e-09,0.23069508110793802
P021,S1_12,Sucrose,12,Temporal,theta,6.485404149744461e-10,0.11551951530480428
P021,S1_5,Sucrose,5,Central,alpha,3.0603885918831067e-10,0.06862962811913538
P021,S1_5,Sucrose,5,Central,beta,1.0875623956414084e-09,0.23337727211760606
P021,S1_5,Sucrose,5,Central,delta,1.1034194991354744e-09,0.3790601978023798
P021,S1_5,Sucrose,5,Central,gamma,9.37473635596065e-10,0.20684390824144402
P021,S1_5,Sucrose,5,Central,theta,4.314789627381856e-10,0.11208899371943476
P021,S1_5,Sucrose,5,Frontal,alpha,2.625118331022246e-10,0.08092346719263764
