subject_id,condition,condition_label,P1_mean_amp,P1_peak_amp,P1_peak_lat,N1_mean_amp,N1_peak_amp,N1_peak_lat,P2_mean_amp,P2_peak_amp,P2_peak_lat,N400_mean_amp,N400_peak_amp,N400_peak_lat,jar_group
P015,762,MedHigh/762,-2.0916309413873273e-06,8.868531051575702e-06,0.14,7.490605418328497e-06,-7.51255174691323e-06,0.2,2.307294724715256e-05,3.678973283456344e-05,0.33,5.6248535268516835e-06,-1.1754536606763586e-05,0.51,Qua_nhieu
P015,893,High/893,1.2201661654184393e-05,1.7190511186981894e-05,0.13,-4.546689192769743e-06,-1.1077607359766261e-05,0.24,4.93860198870467e-06,1.885456766785865e-05,0.25,4.2449829351198785e-06,-6.307827758670708e-06,0.46,Qua_nhieu
P016,605,Water/605,-4.780499139814662e-06,9.545848300929194e-06,0.15,4.743878269602481e-06,-4.024844116656823e-06,0.23,-9.854645976649688e-06,1.236113445202136e-05,0.3,5.827215193706465e-06,-2.1217476309232097e-06,0.51,Khong_du
P016,258,Low/258,-3.9173494527353745e-06,1.0266855320277083e-05,0.12,3.5711739261649074e-06,-9.669462182652449e-06,0.18,7.1292647316585534e-06,3.0772032602044426e-05,0.28,2.7567731284310533e-06,-1.4421732717866891e-05,0.46,Khong_du
P016,453,MedLow/453,-4.1356920807597175e-06,6.567053128492261e-06,0.13,-7.886602868852193e-06,-2.9683844320516074e-05,0.18,-1.2774171009674808e-05,2.8790573352921446e-06,0.35,-5.1504183812789774e-06,-1.367468440397109e-05,0.5,Khong_du
P016,189,Medium/189,1.0883649548329036e-05,2.1314784885362317e-05,0.1,7.094816039005474e-06,-6.988141035435544e-06,0.18,1.4321400491194953e-05,3.116320979188458e-05,0.24,3.835659038573101e-06,-1.4396199994356116e-05,0.53,Khong_du
P016,762,MedHigh/762,1.4791054690834114e-05,3.0240384489843567e-05,0.11,8.00957586064173e-06,-1.7585549011300826e-05,0.18,4.344063179709897e-06,2.0113162219104196e-05,0.33,5.031940173967741e-06,-8.60060706221096e-06,0.41,Vua_phai
P016,893,High/893,1.1895757938061382e-05,2.9832023369635862e-05,0.13,-8.354122031887941e-06,-2.1691009942514937e-05,0.24,1.692649482708274e-05,2.8770291413593442e-05,0.27,9.287706154466274e-07,-1.0647758138778346e-05,0.49,Vua_phai
P017,605,Water/605,1.4757368249650511e-05,2.3029877752378528e-05,0.13,3.7639591946951034e-07,-2.858034622477135e-05,0.14,-4.601989087696453e-07,2.7720849705777557e-05,0.32,4.633653265040158e-06,-1.527098811493488e-05,0.48,Khong_du
P017,258,Low/258,1.0678634682546675e-06,4.793583457285422e-06,0.13,-3.157196062404792e-06,-1.5250531987476279e-05,0.21,2.66102610327121e-07,2.7442329127325138e-05,0.32,2.358191694602355e-06,-1.0302474720447208e-05,0.49,Khong_du
