iso_contam,sampling,model,K,n_samples,majority,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,oracle_acc,oracle_bacc,oracle_thr
0.1,smote,LGBM_gpu,5,840,0.7381,0.575,0.5068,0.5013,0.3636,0.65,0.7381,0.5252,0.88
0.1,smote,LGBM_gpu,10,840,0.7381,0.5631,0.4944,0.4895,0.35,0.6387,0.7381,0.5161,0.79
0.1,smote,LGBM_gpu,15,840,0.7381,0.606,0.5161,0.5142,0.3273,0.7048,0.7393,0.5161,0.84
0.1,smote,LGBM_gpu,20,840,0.7381,0.5762,0.4871,0.4859,0.3,0.6742,0.7393,0.5115,0.83
0.1,smote,LGBM_gpu,25,840,0.7381,0.575,0.4804,0.48,0.2818,0.679,0.7381,0.5168,0.83
0.1,smote,LGBM_gpu,30,840,0.7381,0.5667,0.4953,0.4909,0.3455,0.6452,0.7381,0.5096,0.8
0.1,smote,LGBM_gpu,40,840,0.7381,0.5857,0.4877,0.4873,0.2818,0.6935,0.7381,0.51,0.77
0.1,smote,LGBM_gpu,50,840,0.7381,0.569,0.4661,0.4667,0.25,0.6823,0.7393,0.5025,0.78
0.1,smote,RF_100,5,840,0.7381,0.6357,0.5098,0.5096,0.2455,0.7742,0.7369,0.5175,0.89
0.1,smote,RF_100,10,840,0.7381,0.619,0.4765,0.4732,0.1773,0.7758,0.7381,0.5034,0.75
0.1,smote,RF_100,15,840,0.7381,0.6774,0.5073,0.497,0.15,0.8645,0.7381,0.5268,0.82
0.1,smote,RF_100,20,840,0.7381,0.6738,0.4975,0.4834,0.1273,0.8677,0.7393,0.5049,0.71
0.1,smote,RF_100,25,840,0.7381,0.6726,0.4923,0.4754,0.1136,0.871,0.7381,0.5069,0.74
0.1,smote,RF_100,30,840,0.7381,0.6524,0.4801,0.4663,0.1182,0.8419,0.7393,0.5023,0.73
0.1,smote,RF_100,40,840,0.7381,0.6595,0.482,0.4656,0.1091,0.8548,0.7381,0.5016,0.77
0.1,smote,RF_100,50,840,0.7381,0.656,0.4707,0.4487,0.0818,0.8597,0.7381,0.5015,0.75
0.1,smote,SVM_RBF,5,840,0.7381,0.5155,0.4724,0.4619,0.3818,0.5629,0.7381,0.511,0.8
0.1,smote,SVM_RBF,10,840,0.7381,0.5321,0.4411,0.4424,0.25,0.6323,0.7393,0.5081,0.85
0.1,smote,SVM_RBF,15,840,0.7381,0.5857,0.4906,0.4899,0.2909,0.6903,0.7405,0.5206,0.87
0.1,smote,SVM_RBF,20,840,0.7381,0.6,0.5047,0.5037,0.3045,0.7048,0.7321,0.5188,0.9
0.1,smote,SVM_RBF,25,840,0.7381,0.6202,0.5067,0.5067,0.2682,0.7452,0.7345,0.5141,0.9
0.1,smote,SVM_RBF,30,840,0.7381,0.6083,0.5089,0.5082,0.3,0.7177,0.7345,0.5124,0.9
0.1,smote,SVM_RBF,40,840,0.7381,0.6131,0.4886,0.4882,0.2273,0.75,0.7333,0.4997,0.88
0.1,smote,SVM_RBF,50,840,0.7381,0.6131,0.4652,0.4603,0.1545,0.7758,0.7369,0.5049,0.89
0.1,smote,LogReg_C1,5,840,0.7381,0.475,0.4479,0.4336,0.3909,0.5048,0.7405,0.5066,0.7
0.1,smote,LogReg_C1,10,840,0.7381,0.4952,0.4792,0.4581,0.4455,0.5129,0.7381,0.5041,0.85
0.1,smote,LogReg_C1,15,840,0.7381,0.5369,0.5279,0.5004,0.5091,0.5468,0.7345,0.5279,0.88
0.1,smote,LogReg_C1,20,840,0.7381,0.4714,0.466,0.441,0.4545,0.4774,0.725,0.5098,0.9
0.1,smote,LogReg_C1,25,840,0.7381,0.4798,0.4599,0.4418,0.4182,0.5016,0.7226,0.5042,0.9
0.1,smote,LogReg_C1,30,840,0.7381,0.5,0.4677,0.4539,0.4,0.5355,0.7226,0.5062,0.9
0.1,smote,LogReg_C1,40,840,0.7381,0.5083,0.4675,0.4567,0.3818,0.5532,0.731,0.5128,0.9
0.1,smote,LogReg_C1,50,840,0.7381,0.5321,0.4939,0.4804,0.4136,0.5742,0.7274,0.5102,0.9
