window,summary_feature_index,node,source_feature,statistic,raw_icc1,raw_icck,raw_effective_repeats,raw_n_conditions,subject_centered_icc1,subject_centered_icck,subject_centered_effective_repeats,subject_centered_n_conditions
4:6,66,inner_brow_L,baseline_robust_z,mean,0.22910441292904304,0.5977413449617249,5.0,140,0.05885672631043994,0.23820400082238094,5.0,140
4:6,67,inner_brow_L,baseline_robust_z,std,0.03153207483551715,0.14000214209135634,5.0,140,-0.03643629399692505,-0.21326361275778075,5.0,140
4:6,68,inner_brow_L,baseline_robust_z,quantile_10,0.20342643445313524,0.5608033051118924,5.0,140,0.041517915484852105,0.17802471683343876,5.0,140
4:6,69,inner_brow_L,baseline_robust_z,quantile_90,0.21253938332581757,0.5743818553286916,5.0,140,0.05930864890598989,0.2396823088998715,5.0,140
4:6,70,inner_brow_L,baseline_robust_z,late_minus_early,-0.0006184549293226896,-0.0030999433475891987,5.0,140,-0.04355509641797119,-0.26372106832286735,5.0,140
4:6,71,inner_brow_L,baseline_robust_z,slope_per_second,0.007980978268465557,0.038670381446496725,5.0,140,-0.0355547528341429,-0.20724843114991032,5.0,140
4:6,72,outer_brow_R,value,mean,0.6579447592810999,0.9058160650132131,5.0,140,0.08622112335158943,0.3205521506653943,5.0,140
4:6,73,outer_brow_R,value,std,0.33362157359998085,0.7145502939989156,5.0,140,-0.06681452420168504,-0.4559212726234847,5.0,140
4:6,74,outer_brow_R,value,quantile_10,0.6452832499896535,0.9009484568111696,5.0,140,0.05731920390432252,0.23314197085682153,5.0,140
4:6,75,outer_brow_R,value,quantile_90,0.6356756823261179,0.8971620410992235,5.0,140,0.08453296817145757,0.31586187391900056,5.0,140
4:6,76,outer_brow_R,value,late_minus_early,0.02810065425882179,0.1263061315592464,5.0,140,-0.02725706621522281,-0.1529625752435745,5.0,140
4:6,77,outer_brow_R,value,slope_per_second,0.03486321487997911,0.15298226069074924,5.0,140,-0.027151180929939015,-0.15229596595597736,5.0,140
4:6,78,outer_brow_R,delta,mean,0.3461648224633531,0.7258161028207771,5.0,140,0.08902492212638087,0.32823885618796184,5.0,140
4:6,79,outer_brow_R,delta,std,0.3336215818834486,0.7145503015986694,5.0,140,-0.06681451609869464,-0.45592119716410107,5.0,140
4:6,80,outer_brow_R,delta,quantile_10,0.3515007603103886,0.7304661596125953,5.0,140,0.07829816095818407,0.2981213812227121,5.0,140
4:6,81,outer_brow_R,delta,quantile_90,0.3339400691388045,0.7148423416792148,5.0,140,0.0930432215165455,0.3390360735930541,5.0,140
4:6,82,outer_brow_R,delta,late_minus_early,0.028100642988111376,0.12630608601879725,5.0,140,-0.027257074299378514,-0.15296262616221926,5.0,140
4:6,83,outer_brow_R,delta,slope_per_second,0.03486320901932024,0.15298223812115605,5.0,140,-0.027151185886660757,-0.15229599714658942,5.0,140
4:6,84,outer_brow_R,velocity,mean,0.08354662974982445,0.3130995125497458,5.0,140,0.024528902550808793,0.11168633941133517,5.0,140
4:6,85,outer_brow_R,velocity,std,0.417077114982303,0.781538418900354,5.0,140,-0.021451674800210818,-0.11732570552342975,5.0,140
4:6,86,outer_brow_R,velocity,quantile_10,0.3676812468111014,0.7440756229635568,5.0,140,-0.02697811169864794,-0.15120775758899124,5.0,140
4:6,87,outer_brow_R,velocity,quantile_90,0.33743257271960964,0.7180240515890478,5.0,140,-0.010730166550404003,-0.056056829206722766,5.0,140
4:6,88,outer_brow_R,velocity,late_minus_early,0.015887612772041378,0.07469139219388256,5.0,140,-0.02650580308306768,-0.14824659570981655,5.0,140
4:6,89,outer_brow_R,velocity,slope_per_second,0.03128597295646112,0.1390309860976596,5.0,140,-0.02122367885417404,-0.11596304387990891,5.0,140
