filter,n_samples,n_subjects,majority_baseline,strategy,K,model,accuracy,balanced_acc,f1
strict,90,27,0.7888888888888889,std+wins,8,LogReg_C0.1,0.5777777777777777,0.5974796145292809,0.5325314379442319
strict,90,27,0.7888888888888889,std+wins,8,LogReg_C1,0.5777777777777777,0.5782060785767236,0.525
strict,90,27,0.7888888888888889,std+wins,8,LogReg_C10,0.5777777777777777,0.5782060785767236,0.525
strict,90,27,0.7888888888888889,std+wins,8,SVM_RBF,0.5888888888888889,0.488880652335063,0.48122760554603516
strict,90,27,0.7888888888888889,std+wins,8,RForest,0.7666666666666667,0.4859154929577465,0.4339622641509434
strict,90,27,0.7888888888888889,std+wins,8,GradBoost,0.7444444444444445,0.5296515937731653,0.527289335464718
strict,90,27,0.7888888888888889,std+wins,10,LogReg_C0.1,0.5777777777777777,0.5974796145292809,0.5325314379442319
strict,90,27,0.7888888888888889,std+wins,10,LogReg_C1,0.5666666666666667,0.5711638250555968,0.5164623226339716
strict,90,27,0.7888888888888889,std+wins,10,LogReg_C10,0.5777777777777777,0.5782060785767236,0.525
strict,90,27,0.7888888888888889,std+wins,10,SVM_RBF,0.5777777777777777,0.48183839881393625,0.47384615384615386
strict,90,27,0.7888888888888889,std+wins,10,RForest,0.7666666666666667,0.4859154929577465,0.4339622641509434
strict,90,27,0.7888888888888889,std+wins,10,GradBoost,0.7333333333333333,0.5033358042994811,0.49248120300751874
strict,90,27,0.7888888888888889,std+wins,15,LogReg_C0.1,0.6111111111111112,0.5993328391401038,0.5507060333761232
